"ccode","cname","year","energy_carrier","values_TJ","shares"
"SK","Slovakia",2020,"Natural gas",38495.07,0.4583
"SK","Slovakia",2021,"Natural gas",41212.71,0.4449
"SK","Slovakia",2017,"Heat",15646.74,0.2602
"SK","Slovakia",2018,"Heat",14389.5,0.2497
"SK","Slovakia",2019,"Heat",13978.67,0.1735
"SK","Slovakia",2020,"Heat",14018.5,0.1669
"SK","Slovakia",2021,"Heat",14734.9,0.1591
"SK","Slovakia",2017,"Oil and petroleum products",293.94,0.0049
"SK","Slovakia",2018,"Oil and petroleum products",174.8,0.003
"SK","Slovakia",2019,"Oil and petroleum products",188.6,0.0023
"SK","Slovakia",2020,"Oil and petroleum products",142.6,0.0017
"SK","Slovakia",2021,"Oil and petroleum products",179.4,0.0019
"SK","Slovakia",2017,"Renewables and biofuels",1172.08,0.0195
"SK","Slovakia",2018,"Renewables and biofuels",1384.2,0.024
"SK","Slovakia",2019,"Renewables and biofuels",23412.69,0.2906
"SK","Slovakia",2020,"Renewables and biofuels",23848.47,0.2839
"SK","Slovakia",2021,"Renewables and biofuels",28373.15,0.3063
"SK","Slovakia",2017,"Solid fossil fuels",862.88,0.0143
"SK","Slovakia",2018,"Solid fossil fuels",712,0.0124
"SK","Slovakia",2019,"Solid fossil fuels",681.6,0.0085
"SK","Slovakia",2020,"Solid fossil fuels",1585.96,0.0189
"SK","Slovakia",2021,"Solid fossil fuels",1622.029,0.0175
"UA","Ukraine",2017,"Electricity",6698.88,0.0188
"UA","Ukraine",2018,"Electricity",6832.858,0.0184
"UA","Ukraine",2019,"Electricity",6603.181,0.0213
"UA","Ukraine",2017,"Natural gas",194661.079,0.5454
"UA","Ukraine",2018,"Natural gas",212808.003,0.5742
"UA","Ukraine",2019,"Natural gas",164574.26,0.5305
"UA","Ukraine",2017,"Heat",78669.972,0.2204
"UA","Ukraine",2018,"Heat",67587.82,0.1824
"UA","Ukraine",2019,"Heat",52324.384,0.1687
"UA","Ukraine",2017,"Oil and petroleum products",251.206,7e-04
"UA","Ukraine",2018,"Oil and petroleum products",315.1,9e-04
"UA","Ukraine",2019,"Oil and petroleum products",115,4e-04
"UA","Ukraine",2017,"Renewables and biofuels",68202.972,0.1911
"UA","Ukraine",2018,"Renewables and biofuels",73728.03,0.1989
"UA","Ukraine",2019,"Renewables and biofuels",75550.597,0.2436
"UA","Ukraine",2017,"Solid fossil fuels",8457.33,0.0237
"UA","Ukraine",2018,"Solid fossil fuels",9364.36,0.0253
"UA","Ukraine",2019,"Solid fossil fuels",11032.452,0.0356
"UK","United Kingdom",2017,"Electricity",63263.534,0.0652
"UK","United Kingdom",2018,"Electricity",65235.647,0.0644
"UK","United Kingdom",2017,"Natural gas",722579.655,0.7447
"UK","United Kingdom",2018,"Natural gas",756542.321,0.7472
"UK","United Kingdom",2017,"Heat",10904.187,0.0112
"UK","United Kingdom",2018,"Heat",10904.187,0.0108
"UK","United Kingdom",2017,"Oil and petroleum products",79075.891,0.0815
"UK","United Kingdom",2018,"Oil and petroleum products",79433.686,0.0785
"UK","United Kingdom",2017,"Renewables and biofuels",73703.625,0.076
"UK","United Kingdom",2018,"Renewables and biofuels",80267.196,0.0793
"UK","United Kingdom",2017,"Solid fossil fuels",20722.87,0.0214
"UK","United Kingdom",2018,"Solid fossil fuels",20056.729,0.0198
"XK","Kosovo",2017,"Electricity",1708.65,0.1036
"XK","Kosovo",2018,"Electricity",1756.814,0.1002
"XK","Kosovo",2019,"Electricity",1885.41,0.1096
"XK","Kosovo",2020,"Electricity",2060.878,0.1206
"XK","Kosovo",2021,"Electricity",2487.503,0.1401
"XK","Kosovo",2017,"Heat",395.478,0.024
"XK","Kosovo",2018,"Heat",406.626,0.0232
"XK","Kosovo",2019,"Heat",401.214,0.0233
"XK","Kosovo",2020,"Heat",401.615,0.0235
"XK","Kosovo",2021,"Heat",552.24,0.0311
"XK","Kosovo",2019,"Oil and petroleum products",233.68,0.0136
"XK","Kosovo",2021,"Oil and petroleum products",259.2,0.0146
"XK","Kosovo",2017,"Renewables and biofuels",14394.909,0.8725
"XK","Kosovo",2018,"Renewables and biofuels",14554.524,0.8299
"XK","Kosovo",2019,"Renewables and biofuels",14473.201,0.8417
"XK","Kosovo",2020,"Renewables and biofuels",14396.221,0.8425
"XK","Kosovo",2021,"Renewables and biofuels",14224.051,0.8012
"XK","Kosovo",2018,"Solid fossil fuels",818.985,0.0467
"XK","Kosovo",2019,"Solid fossil fuels",202.71,0.0118
"XK","Kosovo",2020,"Solid fossil fuels",228.75,0.0134
"XK","Kosovo",2021,"Solid fossil fuels",229.665,0.0129
